Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2000-01-03,35.726707458496094,36.35886903819066,34.32828941856568,35.97574080807274,53228400
2000-01-04,34.51985549926758,35.89911720623054,34.40491702368733,34.8072016882182,54119000
2000-01-05,34.88384246826172,35.6692557253725,33.52373658399671,34.060116369340655,64059600
2000-01-06,33.715274810791016,34.9029719916257,33.21720825108615,34.38574902577834,54976600
2000-01-07,34.1558952331543,34.40492868129283,32.89157157337405,33.29385637421322,62013600
2000-01-10,34.40493392944336,34.845531635666745,34.136744021307386,34.76890594762789,44963600
2000-01-11,33.52372741699219,35.0179278390067,33.31300684465681,34.17504554966518,46743600
2000-01-12,32.431819915771484,33.370484520539826,32.010378664651,33.255545997506964,66532400
2000-01-13,33.044822692871094,33.29385613925215,31.110024378679803,31.991219650489697,83144000
2000-01-14,34.40493392944336,34.92215732370559,32.41266604043327,32.85326374665666,73416400
2000-01-18,35.34361267089844,35.70758483390498,34.25169618187881,34.27085261151073,81483600
2000-01-19,32.79578399658203,34.17504594036352,32.48928134240837,33.868543286189855,97568200
2000-01-20,32.489280700683594,33.61950921562483,32.45096786966864,32.81493976431073,56349800
2000-01-21,31.799657821655273,32.87241736262678,31.646406458659346,32.79579168112881,68416200
2000-01-24,31.033401489257812,32.39350735699689,30.899306544551145,31.814025631657355,63597600
2000-01-25,31.512304306030273,31.837963377885906,30.51617067447187,30.956768242276546,59823200
2000-01-26,30.458703994750977,31.723027556797245,30.38207832432393,31.397368457482298,49365000
2000-01-27,30.267135620117188,31.014235803145397,29.8073816613306,30.61674019294449,63654800
2000-01-28,30.11387825012207,30.72688340534084,29.807375672512684,30.075565427920896,58225400
2000-01-31,29.998945236206055,30.094727309118593,29.079437336245718,29.922319577876028,73194200
2000-02-01,31.550621032714844,31.646403124496004,29.941481890791316,30.190515329422336,70196600
2000-02-02,30.8992977142334,31.857118474129038,30.803515638243834,31.39736450937913,49915600
2000-02-03,31.7613525390625,31.933760363460305,30.688592742809483,31.282441915735262,49186000
2000-02-04,32.66169357299805,33.10229119890946,31.91938235542991,31.99121892487199,55365400
2000-02-07,32.680850982666016,32.75747665906148,31.952907056909094,32.73832023996262,40005800
2000-02-08,33.69615173339844,33.71530815848849,32.62339192835562,32.62339192835562,56229000
2000-02-09,31.876270294189453,33.542878176157295,31.83795746931663,33.542878176157295,55090000
2000-02-10,32.489280700683594,32.6616884402509,31.416521432264798,31.842751677306193,54527800
2000-02-11,30.63112449645996,32.1444821169855,30.382090963968416,32.1444821169855,115559000
2000-02-14,30.53531265258789,31.18663048833945,30.362904990183065,31.028590131135026,81028600
2000-02-15,30.209665298461914,30.650262826594204,30.075570398595563,30.573637169527718,71027600
2000-02-16,29.922330856323242,30.70774415024722,29.76907948189905,30.42039782320186,65202600
2000-02-17,30.53531265258789,30.554469059521757,29.773845476966578,30.19049732777824,80343400
2000-02-18,29.13690948486328,30.669422804251223,29.07944023538623,30.650266387758872,79063000
2000-02-22,28.753780364990234,29.76907041118909,28.447277709533974,29.156065100276574,66296200
2000-02-23,28.887880325317383,29.347634388850285,28.2174056493319,28.658003293550934,75847200
2000-02-24,29.0411376953125,29.38595331438613,28.19825507091029,28.88788630905755,69733200
2000-02-25,27.98753547668457,29.026771479155578,27.738501964571704,29.021982373153406,65301400
2000-02-28,28.06414794921875,28.23655568406037,27.01054512518665,27.661863234588314,76131800
2000-02-29,27.39368438720703,28.121628447846103,27.24043300601986,28.121628447846103,58437400
2000-03-01,27.83428382873535,28.83999607994568,27.259591113758024,27.47031177591638,106889800
2000-03-02,28.619686126708984,29.232691452046794,27.93005513570395,28.14077571628882,106932600
2000-03-03,29.462562561035156,30.30544471492693,28.77293170785098,29.04112148408927,101435200
2000-03-06,27.77680015563965,29.84569285688729,27.62354884443612,29.424251751077584,93609400
2000-03-07,28.46643829345703,29.884013282498636,28.179092011894546,29.46257206954032,135061000
2000-03-08,29.29015350341797,29.481717620510302,27.891735448643924,28.753773975559433,94290000
2000-03-09,30.6502628326416,30.6502628326416,29.11774969100952,29.213531762361526,88198800
2000-03-10,30.956775665283203,31.41652975932206,30.497021571244343,30.516177991829295,85589000
2000-03-13,30.037288665771484,30.726920293301955,29.884037192986938,29.922350061183074,61831800
2000-03-14,29.156078338623047,30.4204023664477,29.156078338623047,30.2288381198076,73489200
2000-03-15,29.232694625854492,29.615822995787056,28.715471326445535,28.98366118539833,53208000
2000-03-16,29.232694625854492,29.634979414283684,28.581376396969137,29.405102392324146,77300800
2000-03-17,30.458703994750977,30.4970168299645,28.964503421423572,29.194380432704712,81161600
2000-03-20,29.845703125,30.57364710365854,29.577513238125803,30.267144375802314,47773000
2000-03-21,31.49315071105957,31.608089217304315,29.577508940313855,29.654134611143686,81648800
2000-03-22,31.646406173706055,32.3743501413821,30.99508788683801,31.512311232292046,93975800
2000-03-23,34.289981842041016,34.59648447303133,32.68084302934189,32.73831227265257,148224000
2000-03-24,34.232521057128906,35.24781127314896,33.58120280534246,34.51986734468175,112196800
2000-03-27,31.895431518554688,33.17891134542746,31.85711868790177,33.0304491266474,111434000
2000-03-28,31.97206687927246,32.92988793617098,31.37821782399538,31.76134624675479,81114400
2000-03-29,32.85326385498047,33.38964367302097,32.2211019265756,32.240258348648474,64363800
2000-03-30,31.684722900390625,33.29386239472727,31.41653298466785,32.54676191521383,64178400
2000-03-31,32.56591796875,33.17892348345588,31.914599609375003,32.489292279411764,64281400
2000-04-03,27.853429794311523,29.577507291896143,27.585239961353917,28.945345542781784,260118200
2000-04-04,27.144643783569336,28.198246753291507,26.03357156095323,28.06415182987232,181244400
2000-04-05,26.474178314208984,27.12549673872643,26.320926920204883,27.04887104172438,82887600
2000-04-06,26.359224319458008,26.97222953618959,26.13413646643938,26.933916710143865,66421400
2000-04-07,27.29789924621582,27.393681348834118,26.052731912177904,26.66573736893503,82613600
2000-04-10,26.378381729125977,27.163794692738296,26.359225315379334,27.163794692738296,60685400
2000-04-11,25.707916259765625,26.378390975929406,25.59297773699469,26.09104466900207,71961800
2000-04-12,24.328657150268555,25.209852606105056,24.137092920738883,25.17153976019912,153003800
2000-04-13,24.290328979492188,25.209836701113343,24.213703336023755,24.78839566203698,94316200
2000-04-14,22.719512939453125,24.366964973848546,22.451323073388753,24.252026459820957,151217800
2000-04-17,23.25589942932129,23.2942122784635,22.374703899050466,22.757832390472565,119772200
2000-04-18,24.692628860473633,25.114070159876597,23.25589715796353,23.447461384964875,91794600
2000-04-19,24.117919921875,24.9799583622915,23.945512233791703,24.960801952504468,53715400
2000-04-20,24.194551467895508,24.481897684853887,23.753953935225997,24.09876939557605,52387400
2000-04-24,20.420734405517578,20.842175453286234,19.922667712700076,20.612298518139696,313645800
2000-04-25,21.263629913330078,21.301942760020765,20.72725005966049,21.072065679876655,159517400
2000-04-26,20.842174530029297,21.79999505071079,20.650610425893,21.455179663265454,107091200
2000-04-27,21.39771842956543,21.43603126471237,20.65061814420012,20.66977456177359,77669800
2000-04-28,21.37856101989746,21.76168935358738,20.918807019469558,21.685063686849393,78082600
